finding_id,scan_id,scan_date,detected_timestamp,asset_id,asset_name,asset_type,environment,business_unit,owner_team,cve_id,vulnerability_title,vulnerability_category,severity,cvss_score,cvss_vector,status,first_detected_date,age_days,remediation_hours,asset_value_at_risk,weighted_risk,remediation_sla_days,exploit_available,detection_source,source_updated_at
FND-000011,SCN-20260404-0011,2026-04-04,2026-04-04T06:10:00+00:00,AST-015,sso-broker,Container,Production,Identity & Access,IAM Engineering,CVE-2026-45891,Information Disclosure in the identity federation module,Information Disclosure,Critical,9.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Resolved,2025-12-24,101,10.08,1365000.00,100.10,7,false,Qualys VMDR,2026-04-05T08:10:00+00:00
FND-000012,SCN-20260408-0012,2026-04-08,2026-04-08T06:11:00+00:00,AST-018,container-registry,Cloud VM,Production,Developer Platform,Developer Platform,CVE-2026-31847,Unauthenticated remote code execution in the request-routing filter,Remote Code Execution,Critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,In Remediation,2026-01-08,90,28.16,793800.00,78.40,7,true,Qualys VMDR,2026-04-09T08:11:00+00:00
FND-000013,SCN-20260626-0013,2026-06-26,2026-06-26T06:12:00+00:00,AST-018,container-registry,Cloud VM,Production,Developer Platform,Developer Platform,CVE-2025-48291,SQL injection in the reporting parameter binder,SQL Injection,High,8.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,Accepted Risk,2025-12-30,178,12.35,696600.00,68.80,30,true,CrowdStrike Spotlight,2026-06-26T08:12:00+00:00
FND-000014,SCN-20260604-0014,2026-06-04,2026-06-04T06:13:00+00:00,AST-013,mobile-bff-api,Container,Production,Digital Experience,Web Platform,CVE-2026-41918,Denial of Service in the object-storage SDK,Denial of Service,Critical,9.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Resolved,2026-05-03,32,14.08,608580.00,78.40,7,false,Qualys VMDR,2026-06-04T08:13:00+00:00
FND-000015,SCN-20251223-0015,2025-12-23,2025-12-23T06:14:00+00:00,AST-017,reporting-warehouse,Database,Production,Finance Systems,Enterprise Apps,CVE-2025-42877,Privilege Escalation in the backup client,Privilege Escalation,Medium,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2025-10-29,55,12.60,580125.00,58.50,90,false,CrowdStrike Spotlight,2025-12-23T08:14:00+00:00
FND-000016,SCN-20260411-0016,2026-04-11,2026-04-11T06:15:00+00:00,AST-023,email-relay,Server,Production,Corporate IT,Enterprise Apps,CVE-2026-10022,Authentication bypass via forged assertion in the SSO broker,Authentication Bypass,Critical,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,Open,2026-01-02,99,20.16,232050.00,45.50,7,true,Qualys VMDR,2026-04-13T08:15:00+00:00
FND-000017,SCN-20260531-0017,2026-05-31,2026-05-31T06:16:00+00:00,AST-019,secrets-vault,Container,Production,Identity & Access,IAM Engineering,CVE-2025-41644,SQL Injection in the message queue broker,SQL Injection,Low,3.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Resolved,2026-04-12,49,7.00,832500.00,48.10,180,false,Wiz,2026-06-01T08:16:00+00:00
FND-000018,SCN-20260119-0018,2026-01-19,2026-01-19T06:17:00+00:00,AST-009,internal-wiki,Server,Staging,Corporate IT,Enterprise Apps,CVE-2025-48291,SQL injection in the reporting parameter binder,SQL Injection,High,8.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,Open,2025-10-07,104,14.30,198660.00,34.40,30,true,Nessus,2026-01-19T08:17:00+00:00
FND-000019,SCN-20260315-0019,2026-03-15,2026-03-15T06:18:00+00:00,AST-004,orders-postgres-prod,Database,Production,Commerce,Data Platform,CVE-2026-42329,Path Traversal in the API gateway plugin,Path Traversal,High,8.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2025-12-13,92,10.01,1894200.00,98.40,30,true,Qualys VMDR,2026-03-16T08:18:00+00:00
FND-000020,SCN-20260604-0020,2026-06-04,2026-06-04T06:19:00+00:00,AST-023,email-relay,Server,Production,Corporate IT,Enterprise Apps,CVE-2026-31847,Unauthenticated remote code execution in the request-routing filter,Remote Code Execution,Critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Open,2026-01-08,147,28.16,323400.00,49.00,7,true,Nessus,2026-06-04T08:19:00+00:00
FND-000021,SCN-20260612-0021,2026-06-12,2026-06-12T06:20:00+00:00,AST-015,sso-broker,Container,Production,Identity & Access,IAM Engineering,CVE-2025-48291,SQL injection in the reporting parameter binder,SQL Injection,High,8.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,Resolved,2026-03-30,74,11.70,1161000.00,94.60,30,true,Wiz,2026-06-13T08:20:00+00:00
FND-000022,SCN-20260615-0022,2026-06-15,2026-06-15T06:21:00+00:00,AST-020,partner-integration-gw,Server,Production,Partnerships,Integration Team,CVE-2026-41781,Information Disclosure in the container runtime shim,Information Disclosure,Low,3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2026-05-12,34,4.20,184450.00,21.70,180,true,Nessus,2026-06-16T08:21:00+00:00
FND-000023,SCN-20260802-0023,2026-08-02,2026-08-02T06:22:00+00:00,AST-014,data-lake-gateway,Cloud VM,Production,Data & Analytics,Data Platform,CVE-2025-45343,Cryptographic Weakness in the metrics collector agent,Cryptographic Weakness,Medium,4.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2026-06-30,33,8.55,463540.00,38.70,90,false,Wiz,2026-08-02T08:22:00+00:00
FND-000024,SCN-20260831-0024,2026-08-31,2026-08-31T06:23:00+00:00,AST-002,auth-identity-svc,Container,Production,Identity & Access,IAM Engineering,CVE-2026-20415,Heap overflow in the TLS session-resumption handler,Denial of Service,High,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Resolved,2026-06-13,79,11.44,1243125.00,90.00,30,false,Manual Pentest,2026-09-01T08:23:00+00:00
FND-000025,SCN-20260121-0025,2026-01-21,2026-01-21T06:24:00+00:00,AST-015,sso-broker,Container,Production,Identity & Access,IAM Engineering,CVE-2026-41507,Privilege Escalation in the configuration server,Privilege Escalation,Medium,4.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2026-01-09,12,11.40,580500.00,47.30,90,false,Qualys VMDR,2026-01-22T08:24:00+00:00
FND-000026,SCN-20260705-0026,2026-07-05,2026-07-05T06:25:00+00:00,AST-017,reporting-warehouse,Database,Production,Finance Systems,Enterprise Apps,CVE-2026-40959,Path Traversal in the identity federation module,Path Traversal,Medium,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2026-05-03,63,7.70,580125.00,58.50,90,false,CrowdStrike Spotlight,2026-07-05T08:25:00+00:00
FND-000027,SCN-20260605-0027,2026-06-05,2026-06-05T06:26:00+00:00,AST-013,mobile-bff-api,Container,Production,Digital Experience,Web Platform,CVE-2025-45754,SQL Injection in the log-shipping daemon,SQL Injection,Critical,9.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Resolved,2026-04-02,64,16.00,608580.00,78.40,7,true,CrowdStrike Spotlight,2026-06-05T08:26:00+00:00
FND-000028,SCN-20260701-0028,2026-07-01,2026-07-01T06:27:00+00:00,AST-008,hr-records-db,Database,Production,People Operations,Enterprise Apps,CVE-2025-53914,Sensitive data exposure through verbose error responses,Information Disclosure,Medium,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,In Remediation,2026-06-22,9,6.60,559680.00,47.70,90,false,CrowdStrike Spotlight,2026-07-01T08:27:00+00:00
FND-000029,SCN-20260523-0029,2026-05-23,2026-05-23T06:28:00+00:00,AST-006,edge-waf-gateway,Network Device,Production,Network Security,Network Security,CVE-2026-10022,Authentication bypass via forged assertion in the SSO broker,Authentication Bypass,Critical,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,In Remediation,2025-12-26,148,24.64,1310400.00,100.10,7,true,Qualys VMDR,2026-05-25T08:28:00+00:00
FND-000030,SCN-20260409-0030,2026-04-09,2026-04-09T06:29:00+00:00,AST-003,customer-portal-web,Server,Production,Digital Experience,Web Platform,CVE-2026-31847,Unauthenticated remote code execution in the request-routing filter,Remote Code Execution,Critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Open,2026-03-09,31,24.32,1293600.00,98.00,7,true,Nessus,2026-04-09T08:29:00+00:00
FND-000031,SCN-20251104-0031,2025-11-04,2025-11-04T06:30:00+00:00,AST-012,vpn-concentrator,Network Device,Production,Network Security,Network Security,CVE-2026-10022,Authentication bypass via forged assertion in the SSO broker,Authentication Bypass,Critical,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,Open,2025-05-28,160,21.28,1064700.00,100.10,7,true,Qualys VMDR,2025-11-05T08:30:00+00:00
FND-000032,SCN-20260726-0032,2026-07-26,2026-07-26T06:31:00+00:00,AST-017,reporting-warehouse,Database,Production,Finance Systems,Enterprise Apps,CVE-2026-10022,Authentication bypass via forged assertion in the SSO broker,Authentication Bypass,Critical,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,Resolved,2026-03-03,145,24.64,812175.00,81.90,7,true,Nessus,2026-07-27T08:31:00+00:00
FND-000033,SCN-20260813-0033,2026-08-13,2026-08-13T06:32:00+00:00,AST-011,logging-elastic-node,Cloud VM,Production,Observability,Platform SRE,CVE-2025-48291,SQL injection in the reporting parameter binder,SQL Injection,High,8.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,Resolved,2026-06-08,66,14.30,533200.00,60.20,30,true,Wiz,2026-08-14T08:32:00+00:00
FND-000034,SCN-20260217-0034,2026-02-17,2026-02-17T06:33:00+00:00,AST-018,container-registry,Cloud VM,Production,Developer Platform,Developer Platform,CVE-2025-48291,SQL injection in the reporting parameter binder,SQL Injection,High,8.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,In Remediation,2025-09-27,143,14.30,766260.00,68.80,30,true,Wiz,2026-02-17T08:33:00+00:00
FND-000035,SCN-20260301-0035,2026-03-01,2026-03-01T06:34:00+00:00,AST-019,secrets-vault,Container,Production,Identity & Access,IAM Engineering,CVE-2026-40274,SQL Injection in the object-storage SDK,SQL Injection,High,8.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,In Remediation,2025-11-27,94,13.65,1782000.00,114.40,30,false,Wiz,2026-03-03T08:34:00+00:00
FND-000036,SCN-20260708-0036,2026-07-08,2026-07-08T06:35:00+00:00,AST-005,analytics-spark-cluster,Cloud VM,Production,Data & Analytics,Data Platform,CVE-2026-40959,Path Traversal in the identity federation module,Path Traversal,Medium,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,In Remediation,2026-05-31,38,7.35,572000.00,52.00,90,false,Nessus,2026-07-10T08:35:00+00:00
FND-000037,SCN-20260405-0037,2026-04-05,2026-04-05T06:36:00+00:00,AST-018,container-registry,Cloud VM,Production,Developer Platform,Developer Platform,CVE-2026-31847,Unauthenticated remote code execution in the request-routing filter,Remote Code Execution,Critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,In Remediation,2026-03-09,27,25.60,873180.00,78.40,7,true,Qualys VMDR,2026-04-05T08:36:00+00:00
FND-000038,SCN-20260624-0038,2026-06-24,2026-06-24T06:37:00+00:00,AST-006,edge-waf-gateway,Network Device,Production,Network Security,Network Security,CVE-2025-45343,Cryptographic Weakness in the metrics collector agent,Cryptographic Weakness,Medium,4.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Accepted Risk,2026-04-28,57,8.10,584800.00,47.30,90,false,Nessus,2026-06-24T08:37:00+00:00
FND-000039,SCN-20260821-0039,2026-08-21,2026-08-21T06:38:00+00:00,AST-011,logging-elastic-node,Cloud VM,Production,Observability,Platform SRE,CVE-2026-40137,Privilege Escalation in the container runtime shim,Privilege Escalation,Critical,9.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2026-04-16,127,19.20,507780.00,63.70,7,false,Rapid7 InsightVM,2026-08-22T08:38:00+00:00
FND-000040,SCN-20251031-0040,2025-10-31,2025-10-31T06:39:00+00:00,AST-019,secrets-vault,Container,Production,Identity & Access,IAM Engineering,CVE-2026-40959,Path Traversal in the identity federation module,Path Traversal,Medium,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Resolved,2025-06-18,135,6.30,1243125.00,84.50,90,false,Qualys VMDR,2025-10-31T08:39:00+00:00
FND-000041,SCN-20260519-0041,2026-05-19,2026-05-19T06:40:00+00:00,AST-002,auth-identity-svc,Container,Production,Identity & Access,IAM Engineering,CVE-2025-44521,Information Disclosure in the backup client,Information Disclosure,High,7.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Accepted Risk,2025-11-30,170,8.19,1384500.00,85.20,30,false,Qualys VMDR,2026-05-20T08:40:00+00:00
FND-000042,SCN-20251124-0042,2025-11-24,2025-11-24T06:41:00+00:00,AST-015,sso-broker,Container,Production,Identity & Access,IAM Engineering,CVE-2026-20415,Heap overflow in the TLS session-resumption handler,Denial of Service,High,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Accepted Risk,2025-07-16,131,9.36,1012500.00,82.50,30,false,Nessus,2025-11-24T08:41:00+00:00
FND-000043,SCN-20260511-0043,2026-05-11,2026-05-11T06:42:00+00:00,AST-024,iot-telemetry-hub,Network Device,Staging,Product Engineering,Integration Team,CVE-2026-41918,Denial of Service in the object-storage SDK,Denial of Service,Critical,9.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Resolved,2026-01-06,125,12.80,388080.00,39.20,7,false,CrowdStrike Spotlight,2026-05-11T08:42:00+00:00
FND-000044,SCN-20260102-0044,2026-01-02,2026-01-02T06:43:00+00:00,AST-022,backup-orchestrator,Server,Production,Infrastructure,Platform SRE,CVE-2025-41644,SQL Injection in the message queue broker,SQL Injection,Low,3.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2025-10-19,75,7.35,151700.00,18.50,180,false,Qualys VMDR,2026-01-03T08:43:00+00:00
FND-000045,SCN-20260104-0045,2026-01-04,2026-01-04T06:44:00+00:00,AST-006,edge-waf-gateway,Network Device,Production,Network Security,Network Security,CVE-2025-45754,SQL Injection in the log-shipping daemon,SQL Injection,Critical,9.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2025-11-26,39,14.40,1411200.00,107.80,7,true,CrowdStrike Spotlight,2026-01-06T08:44:00+00:00
FND-000046,SCN-20260203-0046,2026-02-03,2026-02-03T06:45:00+00:00,AST-006,edge-waf-gateway,Network Device,Production,Network Security,Network Security,CVE-2026-31847,Unauthenticated remote code execution in the request-routing filter,Remote Code Execution,Critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,In Remediation,2025-10-09,117,25.60,1332800.00,107.80,7,true,Nessus,2026-02-03T08:45:00+00:00
FND-000047,SCN-20260717-0047,2026-07-17,2026-07-17T06:46:00+00:00,AST-001,core-payments-api,Server,Production,Payments Platform,Platform SRE,CVE-2026-20415,Heap overflow in the TLS session-resumption handler,Denial of Service,High,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Accepted Risk,2026-02-05,162,9.36,1620000.00,97.50,30,false,Nessus,2026-07-19T08:46:00+00:00
FND-000048,SCN-20260123-0048,2026-01-23,2026-01-23T06:47:00+00:00,AST-005,analytics-spark-cluster,Cloud VM,Production,Data & Analytics,Data Platform,CVE-2025-53914,Sensitive data exposure through verbose error responses,Information Disclosure,Medium,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,Open,2025-09-04,141,6.30,396440.00,42.40,90,false,Qualys VMDR,2026-01-25T08:47:00+00:00
FND-000049,SCN-20260405-0049,2026-04-05,2026-04-05T06:48:00+00:00,AST-004,orders-postgres-prod,Database,Production,Commerce,Data Platform,CVE-2026-10022,Authentication bypass via forged assertion in the SSO broker,Authentication Bypass,Critical,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,Open,2026-02-22,42,23.52,1911000.00,109.20,7,true,Rapid7 InsightVM,2026-04-05T08:48:00+00:00
FND-000050,SCN-20260203-0050,2026-02-03,2026-02-03T06:49:00+00:00,AST-020,partner-integration-gw,Server,Production,Partnerships,Integration Team,CVE-2026-31847,Unauthenticated remote code execution in the request-routing filter,Remote Code Execution,Critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Open,2025-08-01,186,26.88,583100.00,68.60,7,true,Qualys VMDR,2026-02-04T08:49:00+00:00
FND-000051,SCN-20260424-0051,2026-04-24,2026-04-24T06:50:00+00:00,AST-001,core-payments-api,Server,Production,Payments Platform,Platform SRE,CVE-2025-53914,Sensitive data exposure through verbose error responses,Information Disclosure,Medium,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,Open,2026-02-24,59,6.00,1272000.00,68.90,90,false,Qualys VMDR,2026-04-24T08:50:00+00:00
FND-000052,SCN-20260224-0052,2026-02-24,2026-02-24T06:51:00+00:00,AST-002,auth-identity-svc,Container,Production,Identity & Access,IAM Engineering,CVE-2025-53914,Sensitive data exposure through verbose error responses,Information Disclosure,Medium,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,In Remediation,2025-11-14,102,5.40,930150.00,63.60,90,false,Nessus,2026-02-24T08:51:00+00:00
FND-000053,SCN-20260101-0053,2026-01-01,2026-01-01T06:52:00+00:00,AST-005,analytics-spark-cluster,Cloud VM,Production,Data & Analytics,Data Platform,CVE-2025-41233,Cryptographic Weakness in the backup client,Cryptographic Weakness,Medium,5.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2025-09-15,108,8.10,466400.00,42.40,90,false,Rapid7 InsightVM,2026-01-01T08:52:00+00:00
FND-000054,SCN-20260412-0054,2026-04-12,2026-04-12T06:00:00+00:00,AST-010,ci-build-runner,Cloud VM,Development,Developer Platform,Developer Platform,CVE-2025-48291,SQL injection in the reporting parameter binder,SQL Injection,High,8.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,In Remediation,2026-01-07,95,13.00,241230.00,43.00,30,true,Qualys VMDR,2026-04-14T08:00:00+00:00
FND-000055,SCN-20260507-0055,2026-05-07,2026-05-07T06:01:00+00:00,AST-012,vpn-concentrator,Network Device,Production,Network Security,Network Security,CVE-2026-31847,Unauthenticated remote code execution in the request-routing filter,Remote Code Execution,Critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Resolved,2026-03-29,39,25.60,1401400.00,107.80,7,true,CrowdStrike Spotlight,2026-05-07T08:01:00+00:00
FND-000056,SCN-20251127-0056,2025-11-27,2025-11-27T06:02:00+00:00,AST-006,edge-waf-gateway,Network Device,Production,Network Security,Network Security,CVE-2025-53914,Sensitive data exposure through verbose error responses,Information Disclosure,Medium,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,In Remediation,2025-10-05,53,6.30,848000.00,58.30,90,false,Nessus,2025-11-28T08:02:00+00:00
FND-000057,SCN-20251229-0057,2025-12-29,2025-12-29T06:03:00+00:00,AST-004,orders-postgres-prod,Database,Production,Commerce,Data Platform,CVE-2025-43699,Path Traversal in the metrics collector agent,Path Traversal,Low,3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Resolved,2025-09-29,91,4.66,585900.00,37.20,180,false,Manual Pentest,2025-12-29T08:03:00+00:00
FND-000058,SCN-20260524-0058,2026-05-24,2026-05-24T06:04:00+00:00,AST-018,container-registry,Cloud VM,Production,Developer Platform,Developer Platform,CVE-2026-20415,Heap overflow in the TLS session-resumption handler,Denial of Service,High,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Open,2026-04-19,35,10.92,607500.00,60.00,30,false,Rapid7 InsightVM,2026-05-25T08:04:00+00:00
FND-000059,SCN-20260202-0059,2026-02-02,2026-02-02T06:05:00+00:00,AST-007,billing-batch-worker,Container,Production,Payments Platform,Platform SRE,CVE-2026-44247,Privilege Escalation in the identity federation module,Privilege Escalation,High,8.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,In Remediation,2026-01-01,32,17.16,606800.00,65.60,30,false,Wiz,2026-02-02T08:05:00+00:00
FND-000060,SCN-20260528-0060,2026-05-28,2026-05-28T06:06:00+00:00,AST-019,secrets-vault,Container,Production,Identity & Access,IAM Engineering,CVE-2026-44795,Authentication Bypass in the configuration server,Authentication Bypass,Medium,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2025-12-27,152,14.70,1462500.00,84.50,90,true,Nessus,2026-05-29T08:06:00+00:00
FND-000061,SCN-20260529-0061,2026-05-29,2026-05-29T06:07:00+00:00,AST-003,customer-portal-web,Server,Production,Digital Experience,Web Platform,CVE-2026-44658,Denial of Service in the service-mesh sidecar,Denial of Service,Medium,6.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,In Remediation,2026-01-19,130,8.00,816000.00,68.00,90,false,Rapid7 InsightVM,2026-05-29T08:07:00+00:00
FND-000062,SCN-20260201-0062,2026-02-01,2026-02-01T06:08:00+00:00,AST-010,ci-build-runner,Cloud VM,Development,Developer Platform,Developer Platform,CVE-2025-45343,Cryptographic Weakness in the metrics collector agent,Cryptographic Weakness,Medium,4.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,Open,2025-09-11,143,9.00,127710.00,21.50,90,false,CrowdStrike Spotlight,2026-02-01T08:08:00+00:00
