transaction_id,order_id,sale_date,posting_timestamp,customer_id,customer_name,customer_type,facility_state,sales_region,sales_rep_id,product_sku,product_family,procedure_category,units,unit_price,gross_sales,discount_pct,discount_amount,net_sales,cost_of_goods,gross_margin,currency,sales_channel,contract_id,purchase_order_number,invoice_number,payment_status,source_updated_at
TXN-000011,SO-100010,2026-02-28,2026-02-28T14:10:00+00:00,CUS-005,Lone Star Orthopedic Network,IDN,TX,South Central,REP-016,TRI-KNEE-CR-04,Triathlon Knee,Total knee arthroplasty,3,4423.80,13271.40,0.1800,2388.85,10882.55,7068.60,3813.95,USD,Direct,AGR-ORTHO-26-338,CPO-005-2026-0011,SI-880010,PAID,2026-03-02T17:10:00+00:00
TXN-000012,SO-100011,2026-01-29,2026-01-29T14:11:00+00:00,CUS-006,Pacific Motion Surgery Partners,ASC,CA,West,REP-020,REV-FEM-STEM-12,Revision Hip,Revision arthroplasty,2,6420.00,12840.00,0.1100,1412.40,11427.60,6850.20,4577.40,USD,Direct,AGR-ORTHO-26-310,CPO-006-2026-0012,SI-880011,PAID,2026-01-29T17:11:00+00:00
TXN-000013,SO-100012,2025-12-25,2025-12-25T14:12:00+00:00,CUS-012,New England Sports Medicine,Hospital,MA,Northeast,REP-039,TRI-KNEE-PS-05,Triathlon Knee,Total knee arthroplasty,3,4873.25,14619.75,0.1200,1754.37,12865.38,7620.00,5245.38,USD,Distributor,AGR-ORTHO-26-317,CPO-012-2025-0013,SI-880012,PAID,2025-12-25T17:12:00+00:00
TXN-000014,SO-100013,2026-04-18,2026-04-18T14:13:00+00:00,CUS-004,Blue Ridge Joint Institute,Hospital,NC,Southeast,REP-016,MAKO-HIP-KIT,Robotic Procedure Kit,Robotic-assisted hip,1,1495.00,1495.00,0.1200,179.40,1315.60,637.50,678.10,USD,Direct,AGR-ORTHO-26-331,CPO-004-2026-0014,SI-880013,PARTIALLY_PAID,2026-04-18T17:13:00+00:00
TXN-000015,SO-100014,2026-04-02,2026-04-02T14:14:00+00:00,CUS-003,Great Lakes University Hospital,Academic Medical Center,OH,Midwest,REP-007,TRI-KNEE-CR-04,Triathlon Knee,Total knee arthroplasty,2,4467.60,8935.20,0.1600,1429.63,7505.57,4527.60,2977.97,USD,Direct,AGR-ORTHO-26-324,CPO-003-2026-0015,SI-880014,OPEN,2026-04-04T17:14:00+00:00
TXN-000016,SO-100015,2026-04-14,2026-04-14T14:15:00+00:00,CUS-006,Pacific Motion Surgery Partners,ASC,CA,West,REP-017,MAKO-KNEE-KIT,Robotic Procedure Kit,Robotic-assisted knee,1,1640.00,1640.00,0.1100,180.40,1459.60,690.00,769.60,USD,Direct,AGR-ORTHO-26-310,CPO-006-2026-0016,SI-880015,OPEN,2026-04-16T17:15:00+00:00
TXN-000017,SO-100016,2026-03-23,2026-03-23T14:16:00+00:00,CUS-001,Atlantic Ortho Alliance,IDN,PA,Northeast,REP-003,SPN-CAGE-LORD,Spine Interbody,Lumbar fusion,2,5154.80,10309.60,0.1950,2010.37,8299.23,5470.00,2829.23,USD,ASC Program,AGR-ORTHO-26-310,CPO-001-2026-0017,SI-880016,PAID,2026-03-23T17:16:00+00:00
TXN-000018,SO-100017,2026-01-05,2026-01-05T14:17:00+00:00,CUS-004,Blue Ridge Joint Institute,Hospital,NC,Southeast,REP-013,SOM-SCREW-45,Trauma Plating,Trauma fixation,2,146.00,292.00,0.1300,37.96,254.04,82.32,171.72,USD,Direct,AGR-ORTHO-26-331,CPO-004-2026-0018,SI-880017,OPEN,2026-01-05T17:17:00+00:00
TXN-000019,SO-100018,2026-04-14,2026-04-14T14:18:00+00:00,CUS-006,Pacific Motion Surgery Partners,ASC,CA,West,REP-020,TRI-KNEE-PS-05,Triathlon Knee,Total knee arthroplasty,2,4825.00,9650.00,0.1200,1158.00,8492.00,5080.00,3412.00,USD,Direct,AGR-ORTHO-26-310,CPO-006-2026-0019,SI-880018,OPEN,2026-04-14T17:18:00+00:00
TXN-000020,SO-100019,2026-02-25,2026-02-25T14:19:00+00:00,CUS-008,Gulf Coast Trauma Hospital,Hospital,FL,Southeast,REP-027,TRI-KNEE-CR-04,Triathlon Knee,Total knee arthroplasty,1,4380.00,4380.00,0.1300,569.40,3810.60,2310.00,1500.60,USD,Distributor,AGR-ORTHO-26-324,CPO-008-2026-0020,SI-880019,PAID,2026-02-27T17:19:00+00:00
TXN-000021,SO-100020,2026-02-09,2026-02-09T14:20:00+00:00,CUS-002,Hudson Valley Surgical Center,ASC,NY,Northeast,REP-010,ACC-HIP-CUP-56,Acetabular System,Total hip arthroplasty,2,3004.75,6009.50,0.1100,661.05,5348.45,2976.00,2372.45,USD,Direct,AGR-ORTHO-26-317,CPO-002-2026-0021,SI-880020,PAID,2026-02-09T17:20:00+00:00
TXN-000022,SO-100021,2025-12-29,2025-12-29T14:21:00+00:00,CUS-005,Lone Star Orthopedic Network,IDN,TX,South Central,REP-013,TRI-KNEE-CR-04,Triathlon Knee,Total knee arthroplasty,1,4423.80,4423.80,0.2000,884.76,3539.04,2263.80,1275.24,USD,ASC Program,AGR-ORTHO-26-338,CPO-005-2025-0022,SI-880021,OPEN,2025-12-30T17:21:00+00:00
TXN-000023,SO-100022,2026-01-07,2026-01-07T14:22:00+00:00,CUS-006,Pacific Motion Surgery Partners,ASC,CA,West,REP-017,TRI-KNEE-PS-05,Triathlon Knee,Total knee arthroplasty,1,4776.75,4776.75,0.1100,525.44,4251.31,2540.00,1711.31,USD,Direct,AGR-ORTHO-26-310,CPO-006-2026-0023,SI-880022,OPEN,2026-01-09T17:22:00+00:00
TXN-000024,SO-100023,2026-04-13,2026-04-13T14:23:00+00:00,CUS-006,Pacific Motion Surgery Partners,ASC,CA,West,REP-018,SOM-PLATE-8H,Trauma Plating,Trauma fixation,2,857.50,1715.00,0.1200,205.80,1509.20,730.00,779.20,USD,Direct,AGR-ORTHO-26-310,CPO-006-2026-0024,SI-880023,PAID,2026-04-14T17:23:00+00:00
TXN-000025,SO-100024,2026-01-26,2026-01-26T14:24:00+00:00,CUS-004,Blue Ridge Joint Institute,Hospital,NC,Southeast,REP-013,TRI-KNEE-CR-04,Triathlon Knee,Total knee arthroplasty,1,4380.00,4380.00,0.1300,569.40,3810.60,2310.00,1500.60,USD,Distributor,AGR-ORTHO-26-331,CPO-004-2026-0025,SI-880024,OPEN,2026-01-28T17:24:00+00:00
TXN-000026,SO-100025,2025-11-30,2025-11-30T14:25:00+00:00,CUS-006,Pacific Motion Surgery Partners,ASC,CA,West,REP-020,SOM-SCREW-45,Trauma Plating,Trauma fixation,1,146.00,146.00,0.1100,16.06,129.94,42.00,87.94,USD,Direct,AGR-ORTHO-26-310,CPO-006-2025-0026,SI-880025,PAID,2025-12-02T17:25:00+00:00
TXN-000027,SO-100026,2025-12-17,2025-12-17T14:26:00+00:00,CUS-008,Gulf Coast Trauma Hospital,Hospital,FL,Southeast,REP-027,ACC-HIP-LIN-36,Acetabular System,Total hip arthroplasty,1,1180.00,1180.00,0.1200,141.60,1038.40,530.00,508.40,USD,Distributor,AGR-ORTHO-26-324,CPO-008-2025-0027,SI-880026,PARTIALLY_PAID,2025-12-17T17:26:00+00:00
TXN-000028,SO-100027,2026-03-27,2026-03-27T14:27:00+00:00,CUS-005,Lone Star Orthopedic Network,IDN,TX,South Central,REP-019,TRI-KNEE-PS-05,Triathlon Knee,Total knee arthroplasty,1,4825.00,4825.00,0.1800,868.50,3956.50,2540.00,1416.50,USD,ASC Program,AGR-ORTHO-26-338,CPO-005-2026-0028,SI-880027,PAID,2026-03-28T17:27:00+00:00
TXN-000029,SO-100028,2026-04-02,2026-04-02T14:28:00+00:00,CUS-004,Blue Ridge Joint Institute,Hospital,NC,Southeast,REP-010,TRI-KNEE-CR-04,Triathlon Knee,Total knee arthroplasty,2,4423.80,8847.60,0.1200,1061.71,7785.89,4527.60,3258.29,USD,Direct,AGR-ORTHO-26-331,CPO-004-2026-0029,SI-880028,PAID,2026-04-03T17:28:00+00:00
TXN-000030,SO-100029,2026-05-20,2026-05-20T14:29:00+00:00,CUS-003,Great Lakes University Hospital,Academic Medical Center,OH,Midwest,REP-008,SPN-CAGE-LORD,Spine Interbody,Lumbar fusion,2,5260.00,10520.00,0.1800,1893.60,8626.40,5470.00,3156.40,USD,Distributor,AGR-ORTHO-26-324,CPO-003-2026-0030,SI-880029,PAID,2026-05-21T17:29:00+00:00
TXN-000031,SO-100030,2026-05-13,2026-05-13T14:30:00+00:00,CUS-003,Great Lakes University Hospital,Academic Medical Center,OH,Midwest,REP-009,MAKO-HIP-KIT,Robotic Procedure Kit,Robotic-assisted hip,3,1524.90,4574.70,0.1800,823.45,3751.25,1912.50,1838.75,USD,Direct,AGR-ORTHO-26-324,CPO-003-2026-0031,SI-880030,OPEN,2026-05-13T17:30:00+00:00
TXN-000032,SO-100031,2026-04-28,2026-04-28T14:31:00+00:00,CUS-005,Lone Star Orthopedic Network,IDN,TX,South Central,REP-016,TRI-KNEE-CR-04,Triathlon Knee,Total knee arthroplasty,2,4336.20,8672.40,0.1950,1691.12,6981.28,4712.40,2268.88,USD,Direct,AGR-ORTHO-26-338,CPO-005-2026-0032,SI-880031,OPEN,2026-04-29T17:31:00+00:00
TXN-000033,SO-100032,2026-02-12,2026-02-12T14:32:00+00:00,CUS-009,Northwest Specialty Distribution,Distributor,WA,West,REP-029,ACC-HIP-CUP-56,Acetabular System,Total hip arthroplasty,1,2945.25,2945.25,0.2450,721.59,2223.66,1458.24,765.42,USD,Distributor,AGR-ORTHO-26-331,CPO-009-2026-0033,SI-880032,PAID,2026-02-12T17:32:00+00:00
TXN-000034,SO-100033,2026-03-22,2026-03-22T14:33:00+00:00,CUS-003,Great Lakes University Hospital,Academic Medical Center,OH,Midwest,REP-012,SPN-CAGE-LORD,Spine Interbody,Lumbar fusion,2,5260.00,10520.00,0.1600,1683.20,8836.80,5470.00,3366.80,USD,Distributor,AGR-ORTHO-26-324,CPO-003-2026-0034,SI-880033,PARTIALLY_PAID,2026-03-22T17:33:00+00:00
TXN-000035,SO-100034,2026-03-21,2026-03-21T14:34:00+00:00,CUS-004,Blue Ridge Joint Institute,Hospital,NC,Southeast,REP-016,MAKO-KNEE-KIT,Robotic Procedure Kit,Robotic-assisted knee,1,1640.00,1640.00,0.1350,221.40,1418.60,690.00,728.60,USD,Distributor,AGR-ORTHO-26-331,CPO-004-2026-0035,SI-880034,PAID,2026-03-23T17:34:00+00:00
TXN-000036,SO-100035,2026-01-25,2026-01-25T14:35:00+00:00,CUS-010,Prairie Orthopedics Cooperative,IDN,IL,Midwest,REP-028,TRI-KNEE-CR-04,Triathlon Knee,Total knee arthroplasty,1,4467.60,4467.60,0.2000,893.52,3574.08,2263.80,1310.28,USD,Direct,AGR-ORTHO-26-338,CPO-010-2026-0036,SI-880035,PAID,2026-01-25T17:35:00+00:00
TXN-000037,SO-100036,2026-05-01,2026-05-01T14:36:00+00:00,CUS-006,Pacific Motion Surgery Partners,ASC,CA,West,REP-017,TRI-KNEE-PS-05,Triathlon Knee,Total knee arthroplasty,1,4873.25,4873.25,0.1100,536.06,4337.19,2489.20,1847.99,USD,ASC Program,AGR-ORTHO-26-310,CPO-006-2026-0037,SI-880036,PAID,2026-05-02T17:36:00+00:00
TXN-000038,SO-100037,2026-03-21,2026-03-21T14:37:00+00:00,CUS-007,Front Range Medical Center,Hospital,CO,Mountain,REP-021,TRI-KNEE-CR-04,Triathlon Knee,Total knee arthroplasty,3,4292.40,12877.20,0.1350,1738.42,11138.78,6930.00,4208.78,USD,Distributor,AGR-ORTHO-26-317,CPO-007-2026-0038,SI-880037,PAID,2026-03-21T17:37:00+00:00
TXN-000039,SO-100038,2026-03-10,2026-03-10T14:38:00+00:00,CUS-002,Hudson Valley Surgical Center,ASC,NY,Northeast,REP-007,SOM-PLATE-8H,Trauma Plating,Trauma fixation,5,875.00,4375.00,0.1100,481.25,3893.75,1825.00,2068.75,USD,Direct,AGR-ORTHO-26-317,CPO-002-2026-0039,SI-880038,OPEN,2026-03-10T17:38:00+00:00
TXN-000040,SO-100039,2026-04-15,2026-04-15T14:39:00+00:00,CUS-004,Blue Ridge Joint Institute,Hospital,NC,Southeast,REP-014,ACC-HIP-LIN-36,Acetabular System,Total hip arthroplasty,3,1180.00,3540.00,0.1300,460.20,3079.80,1590.00,1489.80,USD,Direct,AGR-ORTHO-26-331,CPO-004-2026-0040,SI-880039,PAID,2026-04-15T17:39:00+00:00
TXN-000041,SO-100040,2026-04-14,2026-04-14T14:40:00+00:00,CUS-003,Great Lakes University Hospital,Academic Medical Center,OH,Midwest,REP-012,SPN-CAGE-LORD,Spine Interbody,Lumbar fusion,3,5260.00,15780.00,0.1700,2682.60,13097.40,8205.00,4892.40,USD,Direct,AGR-ORTHO-26-324,CPO-003-2026-0041,SI-880040,PAID,2026-04-16T17:40:00+00:00
TXN-000042,SO-100041,2026-04-21,2026-04-21T14:41:00+00:00,CUS-006,Pacific Motion Surgery Partners,ASC,CA,West,REP-022,MAKO-HIP-KIT,Robotic Procedure Kit,Robotic-assisted hip,4,1465.10,5860.40,0.1100,644.64,5215.76,2450.00,2765.76,USD,Distributor,AGR-ORTHO-26-310,CPO-006-2026-0042,SI-880041,PAID,2026-04-21T17:41:00+00:00
TXN-000043,SO-100042,2026-03-07,2026-03-07T14:42:00+00:00,CUS-006,Pacific Motion Surgery Partners,ASC,CA,West,REP-016,REV-FEM-STEM-12,Revision Hip,Revision arthroplasty,2,6548.40,13096.80,0.1100,1440.65,11656.15,7129.80,4526.35,USD,Distributor,AGR-ORTHO-26-310,CPO-006-2026-0043,SI-880042,PAID,2026-03-07T17:42:00+00:00
TXN-000044,SO-100043,2026-02-18,2026-02-18T14:43:00+00:00,CUS-007,Front Range Medical Center,Hospital,CO,Mountain,REP-020,ACC-HIP-CUP-56,Acetabular System,Total hip arthroplasty,1,2975.00,2975.00,0.1200,357.00,2618.00,1517.76,1100.24,USD,Direct,AGR-ORTHO-26-317,CPO-007-2026-0044,SI-880043,PAID,2026-02-18T17:43:00+00:00
TXN-000045,SO-100044,2026-03-13,2026-03-13T14:44:00+00:00,CUS-003,Great Lakes University Hospital,Academic Medical Center,OH,Midwest,REP-009,ACC-HIP-CUP-56,Acetabular System,Total hip arthroplasty,2,2915.50,5831.00,0.1600,932.96,4898.04,2976.00,1922.04,USD,Direct,AGR-ORTHO-26-324,CPO-003-2026-0045,SI-880044,PAID,2026-03-13T17:44:00+00:00
TXN-000046,SO-100045,2026-02-27,2026-02-27T14:45:00+00:00,CUS-006,Pacific Motion Surgery Partners,ASC,CA,West,REP-019,TRI-KNEE-PS-05,Triathlon Knee,Total knee arthroplasty,1,4825.00,4825.00,0.1000,482.50,4342.50,2540.00,1802.50,USD,Direct,AGR-ORTHO-26-310,CPO-006-2026-0046,SI-880045,PAID,2026-03-01T17:45:00+00:00
TXN-000047,SO-100046,2026-02-12,2026-02-12T14:46:00+00:00,CUS-004,Blue Ridge Joint Institute,Hospital,NC,Southeast,REP-014,MAKO-KNEE-KIT,Robotic Procedure Kit,Robotic-assisted knee,2,1607.20,3214.40,0.1300,417.87,2796.53,1407.60,1388.93,USD,Direct,AGR-ORTHO-26-331,CPO-004-2026-0047,SI-880046,OPEN,2026-02-13T17:46:00+00:00
TXN-000048,SO-100047,2025-11-23,2025-11-23T14:00:00+00:00,CUS-007,Front Range Medical Center,Hospital,CO,Mountain,REP-024,TRI-KNEE-PS-05,Triathlon Knee,Total knee arthroplasty,1,4873.25,4873.25,0.1200,584.79,4288.46,2489.20,1799.26,USD,Direct,AGR-ORTHO-26-317,CPO-007-2025-0048,SI-880047,OPEN,2025-11-24T17:00:00+00:00
TXN-000049,SO-100048,2026-01-18,2026-01-18T14:01:00+00:00,CUS-011,Desert Ridge Ambulatory Surgery,ASC,AZ,Mountain,REP-037,SOM-PLATE-8H,Trauma Plating,Trauma fixation,3,866.25,2598.75,0.1100,285.86,2312.89,1116.90,1195.99,USD,Distributor,AGR-ORTHO-26-310,CPO-011-2026-0049,SI-880048,OPEN,2026-01-20T17:01:00+00:00
TXN-000050,SO-100049,2026-04-27,2026-04-27T14:02:00+00:00,CUS-011,Desert Ridge Ambulatory Surgery,ASC,AZ,Mountain,REP-031,ACC-HIP-CUP-56,Acetabular System,Total hip arthroplasty,2,2975.00,5950.00,0.1200,714.00,5236.00,2916.48,2319.52,USD,Direct,AGR-ORTHO-26-310,CPO-011-2026-0050,SI-880049,OPEN,2026-04-27T17:02:00+00:00
TXN-000051,SO-100050,2026-01-20,2026-01-20T14:03:00+00:00,CUS-009,Northwest Specialty Distribution,Distributor,WA,West,REP-026,TRI-KNEE-PS-05,Triathlon Knee,Total knee arthroplasty,1,4873.25,4873.25,0.2300,1120.85,3752.40,2590.80,1161.60,USD,Direct,AGR-ORTHO-26-331,CPO-009-2026-0051,SI-880050,OPEN,2026-01-20T17:03:00+00:00
TXN-000052,SO-100051,2026-01-14,2026-01-14T14:04:00+00:00,CUS-004,Blue Ridge Joint Institute,Hospital,NC,Southeast,REP-012,TRI-KNEE-CR-04,Triathlon Knee,Total knee arthroplasty,3,4467.60,13402.80,0.1200,1608.34,11794.46,6930.00,4864.46,USD,Distributor,AGR-ORTHO-26-331,CPO-004-2026-0052,SI-880051,PARTIALLY_PAID,2026-01-14T17:04:00+00:00
TXN-000053,SO-100052,2026-04-07,2026-04-07T14:05:00+00:00,CUS-009,Northwest Specialty Distribution,Distributor,WA,West,REP-028,TRI-KNEE-CR-04,Triathlon Knee,Total knee arthroplasty,1,4380.00,4380.00,0.2400,1051.20,3328.80,2356.20,972.60,USD,Direct,AGR-ORTHO-26-331,CPO-009-2026-0053,SI-880052,OPEN,2026-04-08T17:05:00+00:00
TXN-000054,SO-100053,2026-01-08,2026-01-08T14:06:00+00:00,CUS-004,Blue Ridge Joint Institute,Hospital,NC,Southeast,REP-014,SOM-PLATE-8H,Trauma Plating,Trauma fixation,3,883.75,2651.25,0.1200,318.15,2333.10,1095.00,1238.10,USD,Direct,AGR-ORTHO-26-331,CPO-004-2026-0054,SI-880053,OPEN,2026-01-08T17:06:00+00:00
TXN-000055,SO-100054,2025-12-31,2025-12-31T14:07:00+00:00,CUS-010,Prairie Orthopedics Cooperative,IDN,IL,Midwest,REP-033,MAKO-KNEE-KIT,Robotic Procedure Kit,Robotic-assisted knee,4,1640.00,6560.00,0.1950,1279.20,5280.80,2760.00,2520.80,USD,Direct,AGR-ORTHO-26-338,CPO-010-2025-0055,SI-880054,DISPUTED,2025-12-31T17:07:00+00:00
TXN-000056,SO-100055,2025-12-19,2025-12-19T14:08:00+00:00,CUS-003,Great Lakes University Hospital,Academic Medical Center,OH,Midwest,REP-013,SOM-SCREW-45,Trauma Plating,Trauma fixation,2,143.08,286.16,0.1700,48.65,237.51,84.00,153.51,USD,Direct,AGR-ORTHO-26-324,CPO-003-2025-0056,SI-880055,PAID,2025-12-21T17:08:00+00:00
TXN-000057,SO-100056,2026-01-28,2026-01-28T14:09:00+00:00,CUS-001,Atlantic Ortho Alliance,IDN,PA,Northeast,REP-001,TRI-KNEE-PS-05,Triathlon Knee,Total knee arthroplasty,1,4728.50,4728.50,0.1900,898.42,3830.08,2540.00,1290.08,USD,Direct,AGR-ORTHO-26-310,CPO-001-2026-0057,SI-880056,PAID,2026-01-29T17:09:00+00:00
TXN-000058,SO-100057,2026-01-30,2026-01-30T14:10:00+00:00,CUS-007,Front Range Medical Center,Hospital,CO,Mountain,REP-020,ACC-HIP-CUP-56,Acetabular System,Total hip arthroplasty,1,2945.25,2945.25,0.1350,397.61,2547.64,1488.00,1059.64,USD,Direct,AGR-ORTHO-26-317,CPO-007-2026-0058,SI-880057,PAID,2026-01-30T17:10:00+00:00
TXN-000059,SO-100058,2026-03-14,2026-03-14T14:11:00+00:00,CUS-010,Prairie Orthopedics Cooperative,IDN,IL,Midwest,REP-030,MAKO-KNEE-KIT,Robotic Procedure Kit,Robotic-assisted knee,1,1607.20,1607.20,0.1950,313.40,1293.80,703.80,590.00,USD,Distributor,AGR-ORTHO-26-338,CPO-010-2026-0059,SI-880058,PAID,2026-03-15T17:11:00+00:00
TXN-000060,SO-100059,2026-03-01,2026-03-01T14:12:00+00:00,CUS-005,Lone Star Orthopedic Network,IDN,TX,South Central,REP-016,TRI-KNEE-PS-05,Triathlon Knee,Total knee arthroplasty,1,4728.50,4728.50,0.1800,851.13,3877.37,2590.80,1286.57,USD,Direct,AGR-ORTHO-26-338,CPO-005-2026-0060,SI-880059,OPEN,2026-03-01T17:12:00+00:00
TXN-000061,SO-100060,2026-04-12,2026-04-12T14:13:00+00:00,CUS-007,Front Range Medical Center,Hospital,CO,Mountain,REP-023,MAKO-KNEE-KIT,Robotic Procedure Kit,Robotic-assisted knee,5,1640.00,8200.00,0.1300,1066.00,7134.00,3450.00,3684.00,USD,Distributor,AGR-ORTHO-26-317,CPO-007-2026-0061,SI-880060,OPEN,2026-04-14T17:13:00+00:00
TXN-000062,SO-100061,2026-01-11,2026-01-11T14:14:00+00:00,CUS-006,Pacific Motion Surgery Partners,ASC,CA,West,REP-021,TRI-KNEE-CR-04,Triathlon Knee,Total knee arthroplasty,1,4423.80,4423.80,0.1200,530.86,3892.94,2263.80,1629.14,USD,Direct,AGR-ORTHO-26-310,CPO-006-2026-0062,SI-880061,PAID,2026-01-13T17:14:00+00:00
TXN-000063,SO-100062,2026-04-12,2026-04-12T14:15:00+00:00,CUS-009,Northwest Specialty Distribution,Distributor,WA,West,REP-031,SOM-PLATE-8H,Trauma Plating,Trauma fixation,1,892.50,892.50,0.2450,218.66,673.84,357.70,316.14,USD,ASC Program,AGR-ORTHO-26-331,CPO-009-2026-0063,SI-880062,OPEN,2026-04-12T17:15:00+00:00
TXN-000064,SO-100063,2026-05-03,2026-05-03T14:16:00+00:00,CUS-002,Hudson Valley Surgical Center,ASC,NY,Northeast,REP-004,SOM-PLATE-8H,Trauma Plating,Trauma fixation,3,883.75,2651.25,0.1450,384.43,2266.82,1095.00,1171.82,USD,ASC Program,AGR-ORTHO-26-317,CPO-002-2026-0064,SI-880063,PAID,2026-05-05T17:16:00+00:00
TXN-000065,SO-100064,2026-04-21,2026-04-21T14:17:00+00:00,CUS-008,Gulf Coast Trauma Hospital,Hospital,FL,Southeast,REP-023,MAKO-HIP-KIT,Robotic Procedure Kit,Robotic-assisted hip,1,1465.10,1465.10,0.1400,205.11,1259.99,625.00,634.99,USD,ASC Program,AGR-ORTHO-26-324,CPO-008-2026-0065,SI-880064,PAID,2026-04-22T17:17:00+00:00
TXN-000066,SO-100065,2026-02-09,2026-02-09T14:18:00+00:00,CUS-002,Hudson Valley Surgical Center,ASC,NY,Northeast,REP-006,TRI-KNEE-CR-04,Triathlon Knee,Total knee arthroplasty,2,4380.00,8760.00,0.1000,876.00,7884.00,4620.00,3264.00,USD,Direct,AGR-ORTHO-26-317,CPO-002-2026-0066,SI-880065,PAID,2026-02-09T17:18:00+00:00
TXN-000067,SO-100066,2025-11-10,2025-11-10T14:19:00+00:00,CUS-011,Desert Ridge Ambulatory Surgery,ASC,AZ,Mountain,REP-034,MAKO-KNEE-KIT,Robotic Procedure Kit,Robotic-assisted knee,5,1607.20,8036.00,0.1100,883.96,7152.04,3450.00,3702.04,USD,ASC Program,AGR-ORTHO-26-310,CPO-011-2025-0067,SI-880066,PAID,2025-11-10T17:19:00+00:00
